gene	pvalue	FC	fdr
FSD1	1.8485954041638293e-05	1.0634026517095214	4.375066765701111e-05
FSD1L	7.079576402285583e-09	1.1187327744357296	9.468543593541424e-08
FSD2	0.0015350755354408435	1.1012418847956074	0.002383150606258131
FSIP1	0.013652856116415693	1.021259410678821	0.018389561299661954
FST	5.023552065216779e-07	1.1269744674111488	2.0863890656632205e-06
FSTL1	0.0007261474831379094	1.0317646068724136	0.001200753681267262
FSTL3	1.7750419007098763e-07	1.1733714404989666	9.180625571644266e-07
FSTL4	1.10291944996689e-05	1.121467143656445	2.780653919697291e-05
FSTL5	0.5598729419524331	0.9971084167669593	0.5926275196177347
FTCD	6.069780774142506e-09	1.0784501900360963	8.531414088100299e-08
FTCDNL1	1.5705662006409384e-05	1.094793412647379	3.7867209221298356e-05
FTH1	8.116755048216722e-07	1.6737633348825727	3.0695650630774745e-06
FTHL17	4.683334437684062e-05	1.0390685159867536	9.987779820742352e-05
FTL	1.5587690443710074e-06	1.0970002220595838	5.254744413402596e-06
FTMT	0.0011108203325400795	1.0888521068036177	0.00177236206095842
FTO	2.3282135332856417e-05	1.0360943457005694	5.359763638956027e-05
FTSJ1	0.5773686257200521	0.9988883274517032	0.6099558590319709
FTSJ3	0.0023334636570863463	1.1362772544072044	0.00352002169477996
FUBP1	0.01713879690243175	1.0554919685331212	0.022767737549568037
FUBP3	0.3094231169283892	1.0296790769492885	0.3423500666889904
FUCA1	5.230196057310839e-05	1.1077741396778853	0.00011020873979730503
FUCA2	6.041440617386858e-06	1.2164583801854383	1.641472499945096e-05
FUNDC1	0.06623894740701979	0.9600060047715869	0.080971752427006
FUNDC2	1.2534909992331342e-06	1.066437152691876	4.378277351210073e-06
FUOM	0.05364708049911282	1.0761409566697735	0.06639187037147666
FURIN	1.866720889940607e-08	1.0586216319376862	1.8199629485740793e-07
FUS	0.04756090071720608	1.0122811146123105	0.05924136152352411
FUT1	6.392187306770668e-07	1.0977495436492086	2.5302060838794977e-06
FUT10	2.3282135332856417e-05	1.184814360012446	5.359763638956027e-05
FUT11	0.0009595762966885125	1.0642173197935583	0.0015478023784647348
FUT2	1.1418815480941223e-06	1.0558562179806628	4.048052755737687e-06
FUT3	9.506810632544905e-07	1.0888557647666819	3.490889825883688e-06
FUT6	1.1652297601323616e-07	1.1348383664512534	6.659709246539626e-07
FUT8	0.00011131234409718305	1.0317065455795393	0.00021710412224016943
FUT9	2.7963180506376547e-08	1.1677828459398205	2.410454742116956e-07
FUZ	0.001404291995754104	1.1061000134117256	0.0021967387155345523
FXR1	3.7589391707030297e-14	1.2028471886123058	7.132587076408999e-11
FXR2	0.6436883321607418	1.0179537860692318	0.6733642672593247
FXYD4	0.006753337738622867	1.046335153708978	0.009504512040820982
FXYD5	1.2126191719183772e-05	1.1195677492229907	3.018127402807176e-05
FXYD6	1.1225709819905433e-10	1.074583769750952	8.968751319271815e-09
FXYD7	6.343198239222714e-06	1.6064904990848028	1.711817764824903e-05
FYB1	1.607114164249644e-08	1.1596909693785569	1.6373149673362148e-07
FYB2	0.0441958798642711	1.0368609826819069	0.05529949359871705
FYCO1	0.003860349451946704	1.0121248451177034	0.0056313765789497375
FYN	0.0015080540200424185	1.0430983748780813	0.0023440774139098825
FYTTD1	7.911569692081177e-05	1.0259971032043453	0.0001595981766455711
FZD1	2.6705463193268266e-05	1.0881450897598728	6.041563804378722e-05
FZD10	7.497308602774285e-07	1.4729995111482637	2.8776016331255033e-06
FZD2	0.00017979093314229744	1.250217076046666	0.00033450500859174843
FZD3	0.0001556000989024024	1.0921089509812612	0.00029389193745657185
FZD5	2.8012376382685204e-06	1.121541849437192	8.525017511811575e-06
FZD6	0.0066490538804711416	1.030414166092177	0.009367298181489738
FZD7	2.9458299059725338e-06	0.7272485593074981	8.897273770923808e-06
FZD8	3.2446319865109964e-08	1.04233092520072	2.6899788943329833e-07
FZD9	6.799919520461339e-05	1.1126423213001124	0.00013945255109511364
FZR1	1.304380113410274e-07	1.0251012525447962	7.247617174805256e-07
G2E3	0.0013794009622110825	1.020630306695183	0.0021629280659399065
G3BP1	0.0009773789817020659	1.1153104204282447	0.0015743434785905517
G3BP2	1.5994572046881398e-06	1.0629464882555255	5.365692898821207e-06
G6PC1	0.0001835225062081448	1.1248983219026056	0.0003409462298665571
G6PC3	2.5136275111200202e-08	1.1420164636629924	2.2145598153686537e-07
G6PD	0.0015080540200424185	1.065519400426007	0.0023440774139098825
GAA	2.6103468733728058e-05	1.0496890620238506	5.925449449269139e-05
GAB1	0.30453708101667354	1.0203663652417168	0.3373374846638284
GAB2	0.013264468379294191	1.0494216907625689	0.01789659852436991
GAB3	0.07850792088053685	1.1486432068980923	0.09483926778342745
GAB4	0.2997025397997344	1.0224342371913169	0.3325646603918105
GABARAPL1	2.22369482008328e-05	1.1245856363507551	5.148823576702897e-05
GABBR1	0.34506775234456244	1.012115606999882	0.37905264350462825
GABBR2	0.001071069805615541	1.0613779463475972	0.001713621379557748
GABPB1	0.011465416942476948	1.023758304820837	0.01563465946701402
GABPB2	0.0003042060121151928	1.0394128215505933	0.0005406049243629861
GABRA1	0.039526407840023786	1.107312169723332	0.04983892939708955
GABRA3	0.5324261719743195	1.0182062465857025	0.5666173086490585
GABRA4	3.2046462339148147e-06	1.2538164411294044	9.54602233728942e-06
GABRA5	0.03665179890823061	1.0384316323613307	0.04641480832793365
GABRA6	8.99907738055435e-05	1.1727403846908984	0.00017922591791762665
