gene	pvalue	FC	fdr
EGR1	0.003171729473565799	1.2753590582672725	0.02565714566222228
EGR2	1	1.0889135288519403	1.0
EGR3	0.0035589867995491254	0.8129903265127332	0.028281564365056782
EGR4	0.011834268970293039	0.682072232046093	0.08440050633286811
EHBP1	1	1.0589955190091989	1.0
EHBP1L1	1	1.1451256337443452	1.0
EHD1	1	1.0977972444572663	1.0
EHD2	1	1.116685640078552	1.0
EHD3	1	1.04628226376933	1.0
EHD4	1	1.0476369179739489	1.0
EHF	1	1.037184937363887	1.0
EHHADH	1	0.9828538122757164	1.0
EHMT1	1	1.0068713809062633	1.0
EHMT2	1	1.01957075364073	1.0
EID2	1	1.0482855728629894	1.0
EIF1	1	0.9494073389042164	1.0
EIF1AD	1	1.103735636193165	1.0
EIF1AX	1	0.8968630979234161	1.0
EIF1AY	1	1.0012907764317232	1.0
EIF2AK1	0.004291715157020901	1.2421421616005783	0.033325571018876156
EIF2AK2	1	1.063059811902663	1.0
EIF2AK3	1	1.0081302445521827	1.0
EIF2AK4	1	0.9833752848603491	1.0
EIF2B2	1	0.983792821740549	1.0
EIF2B3	1	1.0471892659428144	1.0
EIF2B5	1	1.032818437611261	1.0
EIF2D	1	1.1404569613549653	1.0
EIF2S1	1	1.035223662293959	1.0
EIF2S2	1	1.0845552707296715	1.0
EIF2S3	0.6650415011632028	0.8131474311743652	1.0
EIF2S3B	1	1.0	1.0
EIF3A	1	1.0246043114856558	1.0
EIF3B	1	1.0658375271102707	1.0
EIF3CL	1	0.9044031404966895	1.0
EIF3D	1	0.9342407584103846	1.0
EIF3E	1	0.9517495521485962	1.0
EIF3F	1	1.0594815299750546	1.0
EIF3G	3.030407931788482e-06	1.317773910559315	4.75208948729741e-05
EIF3H	1	1.036220616853166	1.0
EIF3I	1	0.9956015761115263	1.0
EIF3J	1	1.0896839315108018	1.0
EIF3L	1	0.9336995898101295	1.0
EIF3M	1	1.0226374662288735	1.0
EIF4A2	0.5422969187675074	0.8041870975060738	1.0
EIF4A3	1	1.0041401272690171	1.0
EIF4B	1	1.175881612851416	1.0
EIF4E	1	1.0612783767222898	1.0
EIF4E1B	1	1.0771401574621995	1.0
EIF4E2	1	1.0662438899120719	1.0
EIF4EBP1	1	1.1181690567616132	1.0
EIF4EBP2	1	0.9768407073770088	1.0
EIF4G1	1	1.1181057510939405	1.0
EIF4G2	1	1.0176407494204167	1.0
EIF4G3	1	1.101496232326269	1.0
EIF4H	1	1.0658318455709854	1.0
EIF5	0.031121982677724345	0.8380934424658384	0.20566577931026386
EIF5A	1	0.8568580468467218	1.0
EIF5A2	1	0.9864831721797082	1.0
EIF5AL1	1	1.0	1.0
EIF5B	1	1.004418437998382	1.0
EIPR1	1	1.027435708880495	1.0
ELAC2	1	1.0139979225417808	1.0
ELANE	1	1.1293384465340914	1.0
ELAPOR1	1	1.1724528668876866	1.0
ELAPOR2	2.6719200615749444e-06	1.2084635517067288	4.237692905948655e-05
ELAVL1	1	1.045334852403419	1.0
ELAVL2	9.153628563201221e-05	1.7070366934984553	0.0010331584451312294
ELAVL3	1	1.023343234945619	1.0
ELAVL4	1	1.0924194683884072	1.0
ELF1	1	1.0930467063931621	1.0
ELF2	1	1.0490877794176154	1.0
ELF3	1	1.1530121993663274	1.0
ELF4	3.55032852521217e-08	1.2212132297332923	1.011876686748087e-06
ELF5	1.4892317639312792e-08	1.236799602321351	5.020416772459963e-07
ELFN1	1.072246870030521e-08	1.19879751022353	3.9260139583294556e-07
ELFN2	1	1.073070154341629	1.0
ELK1	1	1.007270896731902	1.0
ELK3	1	1.096959218424678	1.0
ELK4	1	0.963642158938185	1.0
ELL	1	1.0503449279392783	1.0
ELL2	1	0.9847936890943602	1.0
ELMO1	1	1.0588348012594637	1.0
ELMO2	1	1.090804622670387	1.0
ELMO3	3.203635370568968e-07	1.2404160966925026	6.34303225699328e-06
ELMOD1	1.3637788801377083e-06	1.307560517196721	2.319181751167514e-05
ELMOD2	1	0.9055833257330372	1.0
ELMOD3	1	1.045747536686556	1.0
ELN	1	1.0437664822074115	1.0
ELOB	0.004964691127997732	1.200352958277627	0.03814487837048458
ELOC	1	1.056585333130171	1.0
ELOF1	1	1.0272284972025436	1.0
ELOVL1	1	1.0972531012690072	1.0
ELOVL2	1	1.0012853670260506	1.0
ELOVL3	7.942358929544187e-05	1.368095906357306	0.0009078252682350544
ELOVL4	1	1.031249520933079	1.0
ELOVL5	1	1.0369594662581567	1.0
ELOVL6	1	1.0920645307540469	1.0
